"Date","Price","Open","High","Low","Vol.","Change %"
"2022-08-18","642.250","642.250","643.000","638.000","0.02K","0.00%"
"2022-08-19","647.000","642.250","647.000","642.250","0.02K","0.74%"
"2022-08-22","651.500","646.500","661.490","637.000","0.31K","0.70%"
"2022-08-23","657.500","651.500","658.780","651.500","0.02K","0.92%"
"2022-08-24","655.480","657.500","658.410","653.000","0.02K","-0.31%"
"2022-08-25","652.250","655.480","658.410","652.250","0.03K","-0.49%"
"2022-08-26","653.000","652.250","655.000","652.200","0.02K","0.11%"
"2022-08-29","656.250","652.250","657.000","652.250","0.02K","0.50%"
"2022-08-30","651.250","656.250","657.000","651.250","0.02K","-0.76%"
"2022-08-31","653.000","651.250","653.680","651.000","0.02K","0.27%"
"2022-09-01","652.250","652.250","674.840","652.250","0.21K","-0.11%"
"2022-09-02","653.000","652.250","654.000","652.220","0.02K","0.11%"
"2022-09-05","656.150","653.000","663.240","653.000","2.50K","0.48%"
"2022-09-06","676.950","653.000","677.570","653.000","0.34K","3.17%"
"2022-09-07","658.750","676.950","678.960","658.750","1.26K","-2.69%"
"2022-09-08","659.000","658.750","659.000","653.000","0.01K","0.04%"
"2022-09-09","646.250","653.500","659.000","646.250","0.03K","-1.93%"
"2022-09-12","640.250","646.250","651.930","640.250","0.02K","-0.93%"
"2022-09-13","644.000","640.250","656.420","640.250","3.51K","0.59%"
"2022-09-14","643.750","643.750","648.730","641.000","0.01K","-0.04%"
"2022-09-15","653.500","643.750","655.000","641.000","0.02K","1.51%"
"2022-09-16","654.000","653.500","660.110","652.750","0.60K","0.08%"
"2022-09-19","654.250","652.750","658.650","652.750","4.51K","0.04%"
"2022-09-20","650.500","655.000","656.120","650.500","0.02K","-0.57%"
"2022-09-21","659.000","650.500","660.130","650.500","0.02K","1.31%"
"2022-09-22","664.500","659.000","664.500","655.000","0.02K","0.83%"
"2022-09-23","666.750","664.500","669.350","655.000","0.03K","0.34%"
"2022-09-26","673.450","666.750","680.330","663.070","0.49K","1.00%"
"2022-09-27","676.500","673.450","677.000","673.400","0.03K","0.45%"
"2022-09-28","683.250","676.500","697.830","676.500","0.30K","1.00%"
"2022-09-29","675.250","683.250","686.960","675.250","0.24K","-1.17%"
"2022-09-30","675.250","675.250","686.960","665.000","0.02K","0.00%"
"2022-10-03","665.250","675.250","682.000","665.250","0.92K","-1.48%"
"2022-10-04","660.250","665.250","682.000","660.250","0.02K","-0.75%"
"2022-10-05","654.500","660.250","681.000","654.500","0.45K","-0.87%"
"2022-10-06","658.750","654.500","658.750","654.500","0.02K","0.65%"
"2022-10-07","658.000","658.750","666.750","654.000","0.03K","-0.11%"
